name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
감자볶음,감자볶음,채소볶음류,95ml,52,8.96,1.2,7.0,244.0,0.35,15.88,0.28,1.6,,,,,0.08,0.0,0.244,13.43,,6.23,0.0,0.12
감자볶음_감자_베이컨,감자볶음,채소볶음류,130ml,50,5.37,1.72,6.0,147.0,0.23,,,0.9,,,,,,6.0,0.435,8.12,,7.64,0.04,
감자볶음_잔멸치,감자볶음,채소볶음류,50.5ml,153,16.65,6.7,75.0,454.0,0.75,61.46,0.97,2.5,,,,,0.64,0.0,0.854,32.83,,9.44,1.7,0.58
감자볶음_채소,감자볶음,채소볶음류,70ml,81,10.46,1.5,12.0,267.0,0.42,17.32,0.31,1.9,,,,,0.41,26.0,0.34800000000000003,16.34,,6.94,0.0,0.39
감자볶음_양파,감자볶음,채소볶음류,47.6ml,114,12.58,1.7,12.0,336.0,0.48,21.06,0.38,2.4,,,,,0.41,0.0,0.34,18.8,,8.96,0.0,0.61
감자볶음_햄,감자볶음,채소볶음류,56.6ml,160,13.33,5.1,18.0,420.0,0.69,29.47,0.62,2.5,,,,,0.47,43.0,1.255,23.17,,16.25,0.0,0.78
감자볶음_햄_채소,감자볶음,채소볶음류,180ml,47,5.29,2.6,6.0,160.0,0.24,10.43,0.26,0.9,,,,,0.12,8.0,0.6799999999999999,8.1,,6.14,0.01,0.18
감자볶음,감자볶음,채소볶음류,95ml,52,8.95,1.2,7.0,243.0,0.35,15.88,0.28,1.6,,,,,0.08,0.0,0.248,13.43,,6.23,0.0,0.12
감자볶음_감자_베이컨,감자볶음,채소볶음류,180ml,53,5.91,1.86,4.0,150.0,0.23,,,0.9,,,,,,5.0,0.479,7.67,,7.03,0.04,
감자볶음_감자_햄,감자볶음,채소볶음류,180ml,47,5.29,2.57,6.0,160.0,0.24,,,0.9,,,,,,8.0,0.6799999999999999,8.1,,6.14,0.01,
감자볶음_잔멸치,감자볶음,채소볶음류,50.5ml,153,16.69,6.7,76.0,455.0,0.74,61.51,0.98,2.5,,,,,0.52,0.0,0.865,32.93,,9.37,1.7,0.58
